feature,mean_abs_shap
discharge_Home,0.20485865
discharge_Rehab_Facility,0.05297376
discharge_Home_Health,0.0519826
number_inpatient,0.051320586
num_lab_procedures,0.038790554
insulin_active,0.0313724
time_in_hospital,0.030660657
has_respiratory,0.029959565
discharge_Skilled_Nursing,0.02906327
has_neoplasms,0.026027553
source_Emergency_Room,0.024003016
num_active_meds,0.021851944
discharge_Transfer_Other,0.018343246
number_diagnoses,0.017719666
age,0.01762502
num_medications,0.014733989
gender,0.014000404
adm_type_Other,0.012764074
source_Hospital_Transfer,0.010732157
has_musculoskeletal,0.0099717025
has_other,0.009023109
discharge_Other_Facility,0.008934587
num_real_conditions,0.007969532
has_diabetes,0.007921364
num_procedures,0.007721394
number_outpatient,0.007129487
A1Cresult_enc,0.007056992
total_visits,0.006636462
discharge_Short_Hospital,0.0060375994
metformin_active,0.00576086
num_med_changes,0.005366772
source_Physician_Referral,0.0050805802
adm_type_Urgent,0.004912324
source_Health_Facility_Transfer,0.0035587929
has_circulatory,0.0034765834
has_genitourinary,0.003469154
source_Clinic_Referral_Transfer,0.0031414735
number_emergency,0.0031399431
discharge_Other_Care,0.0031297079
change,0.002389494
has_injury,0.0019349796
race_Caucasian,0.0017556786
diabetesMed,0.0016995155
race_African American,0.0016803711
metformin_increase,0.0015781668
insulin_increase,0.0014051688
insulin_decrease,0.001292089
max_glu_serum_enc,0.0012380404
has_digestive,0.0011214362
adm_type_Emergency,0.0011009247
source_Transfer_SNF,0.00108475
source_Other,0.00089652836
metformin_decrease,0.0005381248
discharge_Other,0.00052114966
discharge_Hospital_Transfer,0.0004764293
adm_type_Elective,0.00027146022
source_Clinic_Referral,0.00018226681
discharge_Emergency_Transfer,0.00013933322
race_Other,5.704764e-05
